route_id,service_id,trip_id,trip_headsign,direction_id,shape_id,wheelchair_accessible,bikes_allowed
2-10647,2023-COMBNXT-Weekday-11,68041475-2023-COMBNXT-Weekday-11,Fyshwick,0,20656,1,0
2-10647,2023-COMBNXT-Weekday-11,68041476-2023-COMBNXT-Weekday-11,Fyshwick,0,20737,1,1
2-10647,2023-COMBNXT-Weekday-11,68041477-2023-COMBNXT-Weekday-11,Fyshwick,0,20656,1,1
2-10647,2023-COMBNXT-Weekday-11,68041478-2023-COMBNXT-Weekday-11,Fyshwick,0,20656,1,0
2-10647,2023-COMBNXT-Weekday-11,68041479-2023-COMBNXT-Weekday-11,Fyshwick,0,20656,1,0
2-10647,2023-COMBNXT-Weekday-11,68041480-2023-COMBNXT-Weekday-11,Fyshwick,0,20664,1,1
2-10647,2023-COMBNXT-Weekday-11,68041481-2023-COMBNXT-Weekday-11,Fyshwick,0,20666,1,1
2-10647,2023-COMBNXT-Weekday-11,68041482-2023-COMBNXT-Weekday-11,Fyshwick,0,20666,1,0
2-10647,2023-COMBNXT-Weekday-11,68041483-2023-COMBNXT-Weekday-11,Fyshwick,0,20736,1,0
2-10647,2023-COMBNXT-Weekday-11,68041484-2023-COMBNXT-Weekday-11,Fyshwick,0,20736,1,0
2-10647,2023-COMBNXT-Weekday-11,68041485-2023-COMBNXT-Weekday-11,Fraser,1,20738,1,1
2-10647,2023-COMBNXT-Weekday-11,68041486-2023-COMBNXT-Weekday-11,Fraser,1,20738,1,1
2-10647,2023-COMBNXT-Weekday-11,68041487-2023-COMBNXT-Weekday-11,Fraser,1,20738,1,0
2-10647,2023-COMBNXT-Weekday-11,68041488-2023-COMBNXT-Weekday-11,Fraser,1,20738,1,1
2-10647,2023-COMBNXT-Weekday-11,68041489-2023-COMBNXT-Weekday-11,Fraser,1,20738,1,1
2-10647,2023-COMBNXT-Weekday-11,68041490-2023-COMBNXT-Weekday-11,Fraser,1,20738,1,1
2-10647,2023-COMBNXT-Weekday-11,68041491-2023-COMBNXT-Weekday-11,Fraser,1,20738,1,0
2-10647,2023-COMBNXT-Weekday-11,68041492-2023-COMBNXT-Weekday-11,Fraser,1,20738,1,1
2-10647,2023-COMBNXT-Weekday-11,68041493-2023-COMBNXT-Weekday-11,Fraser,1,20738,1,0
2-10647,2023-COMBNXT-Weekday-11,68041494-2023-COMBNXT-Weekday-11,Fraser,1,20738,1,1
3-10647,2023-COMBNXT-Weekday-11,68041495-2023-COMBNXT-Weekday-11,Spence,0,30600,1,1
3-10647,2023-COMBNXT-Weekday-11,68041496-2023-COMBNXT-Weekday-11,Spence,0,30600,1,1
3-10647,2023-COMBNXT-Weekday-11,68041497-2023-COMBNXT-Weekday-11,Spence,0,30600,1,1
3-10647,2023-COMBNXT-Weekday-11,68041498-2023-COMBNXT-Weekday-11,Spence,0,30600,1,1
3-10647,2023-COMBNXT-Weekday-11,68041499-2023-COMBNXT-Weekday-11,Spence,0,30600,1,1
3-10647,2023-COMBNXT-Weekday-11,68041500-2023-COMBNXT-Weekday-11,Spence,0,30600,1,1
3-10647,2023-COMBNXT-Weekday-11,68041501-2023-COMBNXT-Weekday-11,Spence,0,30600,1,1
3-10647,2023-COMBNXT-Weekday-11,68041502-2023-COMBNXT-Weekday-11,Spence,0,30600,1,0
3-10647,2023-COMBNXT-Weekday-11,68041503-2023-COMBNXT-Weekday-11,Spence,0,30600,1,1
3-10647,2023-COMBNXT-Weekday-11,68041504-2023-COMBNXT-Weekday-11,Spence,0,30600,1,1
