SA1_CODE_2021,P_EducTrain_GD_GC,P_EducTrain_BD,P_EducTrain_AdD_D,P_EducTrain_Cert,P_EducTrain_ID_NS,P_EducTrain_ToT,P_HealthCareSocA_PD,P_HealthCareSocA_GD_GC,P_HealthCareSocA_BD,P_HealthCareSocA_AdD_D,P_HealthCareSocA_Cert,P_HealthCareSocA_ID_NS,P_HealthCareSocA_ToT,P_ArtRecServ_PD,P_ArtRecServ_GD_GC,P_ArtRecServ_BD,P_ArtRecServ_AdD_D,P_ArtRecServ_Cert,P_ArtRecServ_ID_NS,P_ArtRecServ_ToT,P_OthServ_PD,P_OthServ_GD_GC,P_OthServ_BD,P_OthServ_AdD_D,P_OthServ_Cert,P_OthServ_ID_NS,P_OthServ_ToT,P_ID_NS_PD,P_ID_NS_GD_GC,P_ID_NS_BD,P_ID_NS_AdD_D,P_ID_NS_Cert,P_ID_NS_ID_NS,P_ID_NS_ToT,P_ToT_PD,P_ToT_GD_GC,P_ToT_BD,P_ToT_AdD_D,P_ToT_Cert,P_ToT_ID_NS,P_ToT_ToT
80104104613,0,9,0,0,0,12,0,3,6,0,11,0,28,0,0,0,0,0,0,3,0,0,0,0,3,0,3,0,0,0,0,0,0,0,17,18,57,23,43,0,164
80104104614,6,4,0,0,0,14,0,0,5,7,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,4,30,10,39,26,25,0,117
80104104616,4,0,0,0,0,13,3,0,3,0,6,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,12,5,25,12,23,5,81
80104104617,0,14,0,4,0,22,3,3,15,4,3,0,26,0,0,0,0,0,0,0,0,0,0,5,10,0,12,0,0,0,0,0,0,3,14,9,81,44,42,11,200
80104104618,0,4,3,4,0,20,0,0,8,3,4,0,16,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,7,46,28,44,3,147
80104104619,5,6,0,6,0,17,0,3,3,0,5,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,19,13,36,17,43,3,115
80104104620,0,6,6,4,0,15,0,5,4,5,8,0,15,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,15,11,34,23,37,0,116
80104104621,0,9,0,5,0,19,4,0,4,0,12,0,22,0,4,0,0,0,0,5,0,0,0,4,0,0,8,0,0,0,0,0,0,0,28,14,49,19,42,4,153
80104104622,4,7,0,0,0,14,0,0,0,3,9,0,16,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,24,5,39,15,43,0,133
80104104623,0,9,5,0,0,23,4,0,15,4,6,0,24,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,3,42,12,76,26,42,0,208
80104104624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80104104625,4,12,5,9,0,25,3,0,5,0,5,0,18,0,0,0,0,0,0,3,0,0,0,0,4,0,4,3,0,0,0,0,0,3,25,19,62,30,49,6,194
80104104626,0,9,6,3,0,15,0,5,7,7,5,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,6,38,25,38,0,133
80104104627,0,6,0,0,0,22,0,0,4,6,0,0,14,0,0,3,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,19,8,43,20,40,8,140
80104104628,0,9,3,9,0,18,4,3,3,4,4,0,17,0,0,0,0,0,0,0,0,0,0,3,5,0,8,0,0,3,0,0,0,5,15,18,30,23,54,0,137
80104104629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
80104104630,0,6,0,3,0,10,3,0,0,3,0,0,9,0,0,0,0,0,0,5,0,0,0,0,4,0,4,0,0,0,0,0,0,3,13,3,45,20,41,5,120
80104104631,0,5,9,0,0,16,0,3,7,4,0,0,18,0,0,0,0,0,0,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,33,5,51,22,39,0,157
80104104632,0,12,0,0,0,24,9,0,15,6,0,6,44,0,0,3,0,0,0,3,0,0,0,0,6,0,10,0,0,0,0,0,0,0,64,11,97,37,64,6,277
80104104633,0,7,4,7,0,14,6,0,16,4,6,0,37,0,0,0,0,0,0,3,0,0,3,5,6,0,7,0,0,5,0,3,0,5,47,4,66,46,64,0,226
80104104634,3,4,0,5,0,15,6,0,6,3,4,0,21,0,0,0,0,0,0,6,0,0,0,0,7,0,5,0,0,0,0,3,0,5,28,12,57,24,38,4,168
80104104635,4,6,0,0,0,16,0,7,4,0,3,0,19,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,14,10,32,20,32,3,108
80104104636,0,11,0,0,0,16,0,0,6,3,0,0,9,0,0,0,4,0,0,4,0,0,0,0,4,0,4,0,0,0,0,0,0,0,22,3,35,18,26,0,106
80104104637,0,0,0,0,0,12,5,0,9,0,0,0,16,0,0,0,0,0,0,5,0,0,0,0,0,0,3,0,0,0,0,0,0,0,26,3,32,15,35,0,119
80104104701,4,5,0,4,0,15,0,0,7,0,0,5,13,0,0,0,0,0,0,0,0,0,0,4,4,0,11,0,0,0,0,0,0,0,20,7,52,14,28,11,128
