SA1_CODE_2021,Tot_OcMngr,Tot_OcProf,Tot_OcTechTrdW,Tot_OcComPerS,Tot_OcClericAdm,Tot_OcSalesWk,Tot_OcMacOp_Driv,Tot_OcLab,Tot_OcID_NS,Tot_Tot
80104103912,34,69,26,25,25,15,7,12,5,222
80104103913,22,41,13,18,18,6,0,5,4,131
80104103914,48,75,31,31,35,12,0,14,9,257
80104103915,27,56,18,14,23,8,5,7,3,167
80104103916,34,77,27,50,40,39,9,18,8,302
80104103917,10,36,11,22,17,11,4,6,0,125
80104103918,14,43,13,20,23,7,6,12,4,135
80104103919,26,52,12,18,20,8,0,11,0,146
80104103920,14,37,13,14,21,14,8,12,3,141
80104103921,33,82,32,32,41,16,8,22,0,274
80104103922,59,75,17,32,34,27,0,10,0,256
80104103923,58,96,23,25,34,17,0,9,3,268
80104103924,40,69,14,28,32,13,4,9,4,216
80104103925,49,76,13,32,32,18,4,13,4,249
80104103926,10,35,13,20,24,3,3,4,0,121
80104103927,51,99,29,36,40,18,10,28,13,322
80104103928,19,45,18,17,25,7,3,10,4,153
80104103929,20,59,21,20,29,24,4,9,0,201
80104104001,50,98,61,59,50,32,13,31,3,402
80104104002,49,57,22,20,33,13,4,5,3,213
80104104005,35,56,22,20,37,11,4,12,7,204
80104104006,31,48,17,22,26,13,8,11,0,180
80104104007,47,89,30,30,47,19,4,22,6,285
80104104008,54,91,33,35,53,18,4,26,4,317
80104104011,0,0,0,0,0,0,0,0,0,0
80104104013,32,41,25,14,22,7,6,10,0,157
80104104014,41,53,35,29,37,11,5,20,0,222
80104104015,37,67,20,36,27,16,9,16,3,235
80104104017,40,50,24,32,19,14,9,10,3,200
80104104018,5,0,0,14,8,3,5,0,0,42
80104104019,18,31,17,17,18,4,0,10,0,115
80104104020,0,0,0,0,0,0,0,0,0,0
80104104021,4,0,0,10,0,0,4,5,0,24
80104104022,28,31,20,31,21,23,0,15,9,174
80104104023,0,0,0,0,0,0,0,0,0,0
80104104024,28,52,28,20,23,6,6,12,3,176
80104104025,27,60,34,25,24,21,4,22,5,218
80104104026,35,111,53,66,56,36,14,32,15,420
80104104027,27,88,36,40,41,31,16,36,3,315
80104104028,22,52,27,28,43,14,8,13,6,212
80104104029,36,60,21,49,34,13,9,15,10,251
80104104030,59,143,69,104,55,55,25,45,9,557
80104104031,30,44,11,14,28,7,4,4,0,144
80104104032,14,46,23,23,24,17,4,16,3,165
80104104301,24,50,10,15,27,8,5,5,0,147
80104104302,0,0,0,0,0,0,0,0,0,0
80104104401,62,88,48,32,44,21,7,19,11,340
